Time,"Time Code","Country Name","Country Code","GDP (current US$) [NY.GDP.MKTP.CD]","GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","GDP per capita (current US$) [NY.GDP.PCAP.CD]","GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]"
2014,"YR2014","Afghanistan","AFG","20050189881.6659","1.31253090764642","633.947864294639","-1.71461102327001","0.243080560140356","4.60433400900534","NA"
2014,"YR2014","Albania","ALB","13277963807.0823","2","4588.64944014811","2.1056781494954","1.66838606009784","1.63177798824094","17.5"
2014,"YR2014","Algeria","DZA","213518488688.12","3.79999999999987","5484.0668056148","1.8052809892676","-0.412084646482015","2.91640641265896","10.6000003814697"
2014,"YR2014","American Samoa","ASM","NA","NA","NA","NA","NA","NA","NA"
2014,"YR2014","Andorra","ADO","NA","NA","NA","NA","NA","NA","NA"
2014,"YR2014","Angola","AGO","126775134686.437","4.80447270408375","5232.69050054132","1.43324784112657","-1.37106621561887","7.27956154105362","NA"
2014,"YR2014","Antigua and Barbuda","ATG","1220976000","4.8219802933227","13432.0792079208","3.76684154779585","-2.9800730743677","1.08944157435359","NA"
2014,"YR2014","Argentina","ARG","529726189460.922","-2.55847744625616","12324.9387857728","-3.55992086617138","40.714601573484","NA","7.30000019073486"
2014,"YR2014","Armenia","ARM","11644438422.9844","3.49999999884847","3873.53356580682","3.01929708077309","2.71611112988137","2.98098807302369","NA"
2014,"YR2014","Aruba","ABW","NA","NA","NA","NA","NA","0.420998172168936","NA"
2014,"YR2014","Australia","AUS","1454675479665.84","2.4998512224341","61995.8296976","0.98519256861276","1.41362111752757","2.48792270531402","6.09999990463257"
2014,"YR2014","Austria","AUT","436887543466.95","0.353471065680438","51148.3588760796","-0.37730585781263","1.62830258780191","1.60580560487981","5.59999990463257"
2014,"YR2014","Azerbaijan","AZE","75198010965.1919","2","7886.45914367274","0.734739796072986","0.1961117293896","1.38502893070292","4.90000009536743"
2014,"YR2014","Bahamas, The","BHS","8510500000","1.02278610479254","22217.4941392075","-0.352037768510655","-0.0879170845999937","1.50446439884784","NA"
2014,"YR2014","Bahrain","BHR","33851063829.7872","4.48093515168384","24855.2156350086","3.52176314416397","-1.51480012868713","2.65119549929705","NA"
2014,"YR2014","Bangladesh","BGD","172885454931.453","6.06109305375394","1086.80008676935","4.78090004537268","5.66875495751124","6.99116532700683","NA"
2014,"YR2014","Barbados","BRB","4354500000","0.180342651036966","15366.2926106288","-0.129693909429392","1.53377986712478","1.88717024578285","NA"
2014,"YR2014","Belarus","BLR","76103961203.4406","1.72308600283803","8025.30435552468","1.54072889411209","17.840387504076","18.1195543526734","0.5"
2014,"YR2014","Belgium","BEL","531234803749.453","1.29547335319668","47299.8601085612","0.858984816437442","0.665221919239073","0.340000000000007","8.5"
2014,"YR2014","Belize","BLZ","1717861750","4.08191649179518","4884.3686203818","1.85856107959619","1.51688985653939","1.20139964480964","NA"
2014,"YR2014","Benin","BEN","9575356734.7269","6.54148665115765","903.464924007693","3.76447710513187","-1.2790816110878","-1.08574446857182","NA"
2014,"YR2014","Bermuda","BMU","NA","NA","NA","NA","NA","NA","NA"
2014,"YR2014","Bhutan","BTN","1958819914.95916","5.45881731232578","2560.52213174131","4.02914155161984","7.57214433019631","8.2065451461993","2.59999990463257"
2014,"YR2014","Bolivia","BOL","32996187988.4226","5.460569751994","3124.08076212353","3.84343712836777","2.04949725388374","5.78356372228235","NA"
2014,"YR2014","Bosnia and Herzegovina","BIH","18521476054.8094","1.08187593166609","4851.66052786926","1.24018896042624","1.00600715910959","NA","NA"
2014,"YR2014","Botswana","BWA","15880195735.2892","3.20391509263389","7153.44432535212","1.18501256489199","11.0466593260104","4.40313594004261","NA"
2014,"YR2014","Brazil","BRA","2417046323841.9","0.103371359100009","11728.7993875108","-0.779984327046009","6.86513891934824","6.33209234205231","4.80000019073486"
2014,"YR2014","British Virgin Islands","VGB","NA","NA","NA","NA","NA","NA","NA"
2014,"YR2014","Brunei Darussalam","BRN","17104656669.2976","-2.33999983542209","40979.6419433378","-3.71928583610773","10.0863006857869","-0.194426291746023","NA"
2014,"YR2014","Bulgaria","BGR","56717054673.7214","1.55000000000003","7851.26542804234","2.12884277938157","0.44536464987155","-1.41812266154145","11.3999996185303"
2014,"YR2014","Burkina Faso","BFA","12549126616.147","4.04779603140109","713.456441626675","1.06260614494518","-0.363922929265073","-0.25808951753505","NA"
2014,"YR2014","Burundi","BDI","3093647226.8107","4.66091818447367","286.002335872952","1.26569805110317","8.30340229746645","4.37984004062461","NA"
2014,"YR2014","Cabo Verde","CPV","1871187070.99534","2.79984680285727","3641.10765586575","1.47000558375223","-0.887105927118085","-0.243630794932763","NA"
2014,"YR2014","Cambodia","KHM","16777820332.7059","7.07152535164744","1094.57668777899","5.32819173788897","1.68277735698037","3.85523855347905","NA"
2014,"YR2014","Cameroon","CMR","32050817632.9602","5.92696495921939","1407.40341322234","3.31357116740915","2.41119539844958","1.94794826760403","NA"
2014,"YR2014","Canada","CAN","1783775590895.93","2.47289263838321","50185.4814970346","1.35382449031522","1.75649117094147","1.90663590717818","6.90000009536743"
2014,"YR2014","Cayman Islands","CYM","NA","NA","NA","NA","NA","NA","NA"
2014,"YR2014","Central African Republic","CAF","1691091491.96525","-1.25710848937553","351.994226017866","-3.18164610831479","14.7146458473098","NA","NA"
